Dates, Index, Long Short Equity, Distressed Debt, Large, Arbitrage, Medium, Billion Dollar, CTA/Managed Futures, Multi-Strategy, Small, Fixed Income, Event Driven, Macro, Relative Value, Top 50, SPY
2007-09-28,263.60578679648603,270.93022925333497,319.731782741485,206.41581463534803,202.370963803587,219.387663888363,217.620700050254,264.270962563906,290.808556480291,293.966184259521,212.30946189295295,263.357592694556,244.583031944481,256.053127896659,109.677262751735,117.46245097802996
2007-10-31,270.96252549031897,279.821608365105,324.465874661654,212.367432717949,205.674240247405,226.047903066455,224.057413940718,271.116319818759,298.50805168217096,301.999746074541,214.899815516742,270.370586019019,250.90935506661597,262.500781986304,112.838286062165,119.05599326148143
2007-11-30,267.770014356339,273.17967105273897,318.324530048538,209.006461051039,205.01786641179797,222.03234894519002,221.18308161572602,274.11456985299,295.668488380103,298.888317414207,213.539978881935,263.393042526286,250.93655644556702,261.12680312931303,110.777214448615,114.44468825952845
2007-12-31,270.416883467363,275.405252945273,318.325167280873,210.51915186901903,205.316046052562,223.34845147817902,222.35083336507003,280.806795193777,297.727845538071,301.96240376015,213.779974848764,264.480213955183,253.655450629421,262.95969419311797,111.352862856017,113.15596634723512
2008-01-31,265.498603692599,264.055501152056,311.439207325872,206.294018197631,205.62345987027905,218.062596874263,219.20029051913502,286.623489396979,293.082126860861,295.67423756699503,213.359958321523,257.054404124477,254.935213893603,260.82382360503397,109.17937955766199,106.31441965899856
2008-02-29,271.899470718035,268.636851567455,310.10259494724096,210.31296411601897,205.835293814169,222.40005797946202,222.61823330266498,305.511613793838,298.811100132848,303.190541601367,213.741320942575,260.808312564114,263.04868484857496,262.165696658802,110.33145941290701,103.5669927209923
2008-03-31,267.234898229631,262.083692350359,306.292812627081,205.497704879184,203.689366386326,218.257312764447,218.12773831136903,304.235742936623,293.583525016205,297.758273574155,211.49759554112998,256.198556740494,259.358384246011,259.11909145763,106.621072264041,102.64085685960987
2008-04-30,271.084322274545,267.711884950725,308.302600500966,208.398467635418,206.28110634716305,221.64582337326598,221.21857085936,305.31035400820497,297.027868012766,302.175478613925,213.939483161302,259.79909576964803,261.139919014271,261.033253358975,108.10273076885099,107.53296387113969
2008-05-30,275.881778797462,273.34192487407995,311.506351716155,212.583225381521,209.00993471619802,225.30845217250302,225.476197502011,311.470233002416,301.259148087125,307.37305699798304,215.26031430452701,265.489006653034,264.069392461107,264.526286765061,109.862545699625,109.15843689414919
2008-06-30,274.434989023885,268.34534520888,307.84445908771704,212.56735653097198,208.63049316395401,223.593747630136,225.268478753471,320.915902299218,299.27199213946,304.96024207304197,214.165966868325,259.868056934897,265.616576004273,262.869703875776,108.996461106814,100.03547268781656
2008-07-31,269.871039972283,262.54465742915903,303.886945409698,208.205644306701,208.945375563193,219.275458296828,220.974100888723,312.83338860043096,295.64575754877,299.49115734439704,214.12444747693695,255.916220281171,262.873223713188,262.239761799512,107.389940869493,99.13658550563324
2008-08-29,267.604708048989,258.47117276517,302.31435833762197,206.275034819262,210.131712438881,216.85622939063305,218.460693990612,313.589254931969,292.547151562207,296.94641790437197,214.423463490516,254.764717368732,261.14367691384103,262.27254779612997,106.43822128932699,100.66860734014813
2008-09-30,255.855877594333,241.522388129025,286.891083245209,196.998569293661,200.79524192703602,205.860684233335,208.82277618919701,312.914977552314,282.560660924871,283.20688017091703,205.605931526865,236.66023050666402,257.768101761754,254.735165144828,99.1683298441905,91.18827119557704
2008-10-31,244.94117807660095,225.627615996383,259.846487550392,188.82164237656,188.67201614852797,198.26852191217603,200.71876389056197,324.25165492313,267.759510009171,268.629991937432,193.040206975109,215.46978569729802,255.10812850917702,243.90820200302,91.0601080144165,76.12521653579067
2008-11-28,242.08415903161801,220.513343989935,248.102987415076,186.660762146151,185.937706773548,196.504785563652,199.640262331338,329.387138480899,265.95348856787,264.873785041756,190.019358580448,207.646783443475,257.581350115308,239.432205554876,88.4240009468257,70.82639353431787
2008-12-31,244.80480560869304,223.047074558079,237.346789012831,187.342631595996,188.846139465,197.25959136617698,201.054320671519,335.434326391464,268.473261433276,268.346232488074,190.28005802462502,209.200087402341,262.42561866259996,243.298146825575,87.3214027325152,71.52023535562111
2009-01-30,245.73586245758202,222.307578126109,237.535844415821,189.831308082351,193.587888215998,198.585529530095,203.506900289903,337.479975924889,270.672047752945,268.597517965598,192.30967969431597,211.983573615444,265.413212739533,245.048239513815,88.74692055716541,65.64738111310056
2009-02-27,243.76774568853,218.798669515554,233.041196032054,189.924836970424,194.746994305244,198.060620186691,203.52610601926895,337.661633623946,269.349955663632,266.207220000523,192.213672907648,209.36315749325695,265.75341253998,243.33271919726002,88.45493230318381,58.593651962235526
2009-03-31,247.82585154163,225.22311042506303,231.71986691503,191.44043936814398,198.308072795018,200.00381976165696,204.012921933829,334.024390845952,273.544361315737,270.82130209176,194.092633428382,215.125529256988,269.849081416605,247.448257398334,89.79607833573259,63.47511032674777
